"LocationID","DBA","StreetAddress","City","Zip","Type Description","Census","SubDistrict","Excellence","District","Status","LocationTypeID","symboltext"
63,"DELI-PUB CAFE, THE","301 CORTLAND AVE ","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","252",305,"No",3,"Active",7,""
66,"STARBUCKS COFFEE","1800 IRVING ST ","SAN FRANCISCO","94122","Restaurant, < 1000 sq'","326",501,"Yes",5,"Active",7,"This Location Has Received the Symbol of Excellence"
67,"REVOLUTION CAFÉ","3248 22ND ST ","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","208",503,"No",5,"Active",7,""
70,"KING-KONG","745 O'FARRELL ST ","SAN FRANCISCO","94109","Candy Counter < $1000 inventory","122",201,"No",2,"Active",43,""
71,"KAPPA RESTAURANT","1700 POST ST K","SAN FRANCISCO","94115","Restaurant, < 1000 sq'","155",201,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
73,"DINO'S PIZZA DELI","2101 FILLMORE ST ","SAN FRANCISCO","94115","Restaurant, < 1000 sq'","135",403,"No",2,"Active",7,""
76,"OMNI S.F. HOTEL - 3RD FLOOR PANTRY","500 CALIFORNIA ST, 3RD FLOOR","SAN FRANCISCO","94104","Restaurant, < 1000 sq'","117A",402,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
77,"OMNI S.F. HOTEL - EMPLOYEE CAFETERIA","500 CALIFORNIA ST, BASEMENT","SAN FRANCISCO","94104","Restaurant, < 1000 sq'","117A",402,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
80,"LAW SCHOOL CAFE","2199 FULTON ST ","SAN FRANCISCO","94117","Restaurant, < 1000 sq'","157",204,"No",2,"Active",7,""
81,"CLUB ED/BON APPETIT","2350 TURK ST ","SAN FRANCISCO","94117","Restaurant, < 1000 sq'","157",204,"No",2,"Active",7,""
83,"CHEZ MAMA","1453 18TH ST ","SAN FRANCISCO","94107","Restaurant, < 1000 sq'","227",302,"No",3,"Active",7,""
85,"EL MAJAHUAL RESTAURANT","1142 VALENCIA ST","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","210",504,"No",5,"Active",7,""
88,"J.B.'S PLACE","1435 17TH ST ","SAN FRANCISCO","94107","Restaurant, < 1000 sq'","227",302,"No",3,"Active",7,""
95,"VEGA","419 CORTLAND AVE ","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","252",305,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
98,"XOX TRUFFLES","754 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","104",401,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
99,"A-1 CAFE RESTAURANT","779 CLAY ST ","SAN FRANCISCO","94108","Restaurant, < 1000 sq'","118",406,"No",4,"Active",7,""
101,"CABLE CAR CORNER","1099 POWELL ST ","SAN FRANCISCO","94108","Restaurant, < 1000 sq'","112",403,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
102,"AKIKO'S SUSHI BAR","542A MASON ST ","SAN FRANCISCO","94102","Restaurant, < 1000 sq'","121",404,"No",4,"Active",7,""
104,"INO SUSHI","22 PEACE PLAZA  #510","SAN FRANCISCO","94115","Restaurant, < 1000 sq'","155",201,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
105,"LITTLE GARDEN","750 VALLEJO ST ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","107A",405,"No",4,"Active",7,""
108,"RUE LEPIC","900 PINE ST","SAN FRANCISCO","94108","Restaurant, < 1000 sq'","119",403,"No",4,"Active",7,""
109,"NEW VENICE PIZZA & RESTAURANT","1000 BUSH ST ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","119",403,"No",4,"Active",7,""
111,"PETITE DELI","752 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","104",401,"No",4,"Active",7,""
113,"RICOS RESTAURANT","943 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","103",401,"No",4,"Active",7,""
114,"GOOD MONG KOK","1039 STOCKTON ST ","SAN FRANCISCO","94108","Restaurant, < 1000 sq'","113",404,"No",4,"Active",7,""
116,"THE WATERFRONT RESTAURANT","PIER 7 EMBARCADERO","SAN FRANCISCO","94111","Restaurant, < 1000 sq'","105",407,"No",4,"Active",7,""
121,"AKIKOS SUSHI","431 BUSH ST ","SAN FRANCISCO","94108","Restaurant, < 1000 sq'","117A",402,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
124,"NEW YORK DELI","126 SUTTER ST ","SAN FRANCISCO","94104","Restaurant, < 1000 sq'","117A",402,"No",4,"Active",7,""
125,"CENTERFOLDS","391 BROADWAY ST ","SAN FRANCISCO","94133","Retail Food Markets w/ Food Prep < 5000 sq'","106",407,"Yes",4,"Active",50,"This Location Has Received the Symbol of Excellence"
126,"BROADWAY DIM SUM","684 BROADWAY ST ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","107A",405,"No",4,"Active",7,""
130,"CAFFE MACARONI","59 COLUMBUS AVE ","SAN FRANCISCO","94111","Restaurant, < 1000 sq'","115",406,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
132,"SILVER STAR CAFE AND DELI","316 PACIFIC AVE ","SAN FRANCISCO","94111","Restaurant, < 1000 sq'","105",407,"No",4,"Active",7,""
133,"NOE VALLEY DELI & CAFE","4007 24TH ST ","SAN FRANCISCO","94114","Restaurant, < 1000 sq'","214",504,"No",5,"Active",7,""
134,"MINT","400 MCALLISTER ST","SAN FRANCISCO","94102","Restaurant, < 1000 sq'","124",202,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
140,"CAFE MADELEINE","300 CALIFORNIA ST ","SAN FRANCISCO","94104","Restaurant, < 1000 sq'","117A",402,"No",4,"Active",7,""
141,"AFC SUSHI @ MOLLIE STONE'S 2","2435 CALIFORNIA ST ","SAN FRANCISCO","94115","Restaurant, < 1000 sq'","152",504,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
146,"DEJA VU PIZZA & PASTA","3227 16TH ST ","SAN FRANCISCO","94103","Restaurant, < 1000 sq'","202",503,"Yes",5,"Active",7,"This Location Has Received the Symbol of Excellence"
151,"BUS STOP PIZZA #1","256 DIVISADERO ST ","SAN FRANCISCO","94117","Restaurant, < 1000 sq'","167",500,"No",5,"Active",7,""
155,"CAFE COLE","609 COLE ST ","SAN FRANCISCO","94117","Restaurant, < 1000 sq'","166",305,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
164,"SAN FRANCISCO SOUP CO","50 POST ST, 3RD FLOOR","SAN FRANCISCO","94104","Restaurant, < 1000 sq'","117A",402,"No",4,"Active",7,""
178,"C & Y CAFE","400 CALIFORNIA ST  3RD FLOOR","SAN FRANCISCO","94104","Restaurant, < 1000 sq'","117A",402,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
179,"SECRET GARDEN TEA HOUSE","721 LINCOLN WAY ","SAN FRANCISCO","94122","Restaurant, < 1000 sq'","302",502,"Yes",5,"Active",7,"This Location Has Received the Symbol of Excellence"
180,"NENAS RESTAURANT","3459 MISSION ST ","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","253",302,"No",3,"Active",7,""
184,"RADIO HAVANA","1109 VALENCIA ST","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","209",504,"Yes",5,"Active",7,"This Location Has Received the Symbol of Excellence"
187,"TAZA WRAPS & JUICE","750 FONT, BLDG B BLVD ","SAN FRANCISCO","94132","Restaurant, < 1000 sq'","332",506,"Yes",5,"Active",7,"This Location Has Received the Symbol of Excellence"
189,"CREPE 'N COFFEE","2821 CALIFORNIA ST ","SAN FRANCISCO","94115","Restaurant, < 1000 sq'","153",201,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
190,"COURTYARD BY MARRIOTT-STAFF KITCHEN","299 02ND ST ","SAN FRANCISCO","94105","Restaurant, < 1000 sq'","179",304,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
192,"ARLEQUIN","384B HAYES ST","SAN FRANCISCO","94102","Restaurant, < 1000 sq'","162",202,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
194,"BAYSIDE COFFEE SHOP","2011 BAYSHORE BLVD ","SAN FRANCISCO","94134","Restaurant, < 1000 sq'","610",406,"No",3,"Active",7,""
198,"SUBWAY","3801 03RD ST 310","SAN FRANCISCO","94124","Restaurant, < 1000 sq'","608",302,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
199,"TIFFANY'S CAFE","3801 03RD ST 535","SAN FRANCISCO","94124","Restaurant, < 1000 sq'","608",302,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
200,"JIM'S SMOKE SHOP","600 20TH ST ","SAN FRANCISCO","94107","Restaurant, < 1000 sq'","226",302,"No",3,"Active",7,""
201,"CHEZ PAPA","1401 18TH ST ","SAN FRANCISCO","94107","Restaurant, < 1000 sq'","227",302,"No",3,"Active",7,""
208,"CONSTANS GROCERY","4124 03RD ST ","SAN FRANCISCO","94124","Restaurant, < 1000 sq'","609",305,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
216,"SORABOL","101 SPEAR ST ","SAN FRANCISCO","94105","Restaurant, < 1000 sq'","176A",303,"No",3,"Active",7,""
217,"PROGRESSIVE GROUNDS","400 CORTLAND AVE ","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","254",305,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
219,"CUP OF BLUES","900 22ND ST ","SAN FRANCISCO","94107","Restaurant, < 1000 sq'","226",302,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
220,"RAINBOW PIZZA","1083 MARKET ST ","SAN FRANCISCO","94103","Restaurant, < 1000 sq'","176B",306,"No",3,"Active",7,""
221,"NOODLE EXPRESS","1235 VAN NESS AVE ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","151",201,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
226,"GRUMPY'S AMERICAN PUB","125 VALLEJO ST ","SAN FRANCISCO","94111","Restaurant, < 1000 sq'","105",407,"No",4,"Active",7,""
229,"BANGKOK RESTAURANT","0301 KEARNY ST","SAN FRANCISCO","94108","Restaurant, < 1000 sq'","117A",402,"No",4,"Active",7,""
273,"HAI SUN RESTAURANT","3137 LAGUNA ST ","SAN FRANCISCO","94123","Restaurant, < 1000 sq'","129",206,"No",2,"Active",7,""
274,"PESCE","2227 POLK ST ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","109",405,"No",4,"Active",7,""
275,"BEN & JERRY'S","170 O'FARRELL ST BASEMENT","SAN FRANCISCO","94102","Restaurant, < 1000 sq'","117B",405,"No",4,"Active",7,""
276,"CORSAGNA","1668 UNION ST ","SAN FRANCISCO","94123","Restaurant, < 1000 sq'","130",206,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
279,"INGA DONUTS","1026 HYDE ST ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","111",403,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
281,"PARMA RESTAURANT","3314 STEINER ST ","SAN FRANCISCO","94123","Restaurant, < 1000 sq'","128",206,"No",2,"Active",7,""
283,"HAI KY MI GIA","707 ELLIS ST ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","124",202,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
284,"QUEEN MALIKA","4416 18TH ST ","SAN FRANCISCO","94114","Restaurant, < 1000 sq'","205",502,"No",5,"Active",7,""
285,"VAN NESS KENO ICE CREAM","26 VAN NESS","SAN FRANCISCO","94102","Restaurant, < 1000 sq'","124",202,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
286,"PUNJAB KABAB HOUSE","101 EDDY ST ","SAN FRANCISCO","94102","Restaurant, < 1000 sq'","125",202,"No",2,"Active",7,""
290,"BISTRO AIX","3340 STEINER ST ","SAN FRANCISCO","94123","Restaurant, < 1000 sq'","128",206,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
298,"BAMBOO RESTAURANT","1441 POLK ST ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","111",403,"No",4,"Active",7,""
299,"YUKOL PLACE THAI CUISINE","2380 LOMBARD ST ","SAN FRANCISCO","94123","Restaurant, < 1000 sq'","128",206,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
300,"SUBWAY","2001 VAN NESS AVE ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","131",401,"No",2,"Active",7,""
302,"MOULIN ROUGE","887 GEARY ST ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","122",201,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
305,"PACIFIC CATCH","2027 CHESTNUT ST ","SAN FRANCISCO","94123","Restaurant, < 1000 sq'","128",206,"No",2,"Active",7,""
315,"THE POSH BAGEL","495A CASTRO ST","SAN FRANCISCO","94114","Restaurant, < 1000 sq'","206",504,"No",5,"Active",7,""
318,"FIRST CUP","2911 VAN NESS AVE ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","129",206,"No",2,"Active",7,""
319,"UNION STREET COFFEE ROASTERY","2191 UNION ST ","SAN FRANCISCO","94123","Restaurant, < 1000 sq'","130",206,"No",2,"Active",7,""
320,"NAPOLI PIZZA RESTAURANT","1045 POLK ST ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","122",201,"No",2,"Active",7,""
323,"WAYO","1407 VAN NESS AVE ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","151",201,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
325,"MIFUNE RESTAURANT","1737 POST ST ","SAN FRANCISCO","94115","Restaurant, < 1000 sq'","155",201,"No",2,"Active",7,""
326,"TEN ICHI RESTAURANT","2235 FILLMORE ST ","SAN FRANCISCO","94115","Restaurant, < 1000 sq'","135",403,"No",2,"Active",7,""
328,"MIYAKO","1470 FILLMORE ST","SAN FRANCISCO","94115","Restaurant, < 1000 sq'","159",201,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
329,"S.F. SCONE WORKS","814 EDDY ST ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","160",201,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
332,"NANI'S COFFEE","2739 GEARY BLVD ","SAN FRANCISCO","94118","Restaurant, < 1000 sq'","157",204,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
335,"POLKERS","2226 POLK ST ","SAN FRANCISCO","94109","Restaurant, 1000 - 2000 sq'","109",405,"No",4,"Active",8,""
337,"GORDO TAQUERIA #2","1239 09TH AVE ","SAN FRANCISCO","94122","Restaurant, < 1000 sq'","302",502,"No",5,"Active",7,""
341,"THE BRIDGE CAFE"," TOLL PLAZA  ","SAN FRANCISCO","94129","Retail Food Markets w/ Food Prep < 5000 sq'","601",206,"No",2,"Active",50,""
342,"GANIM'S MARKET","1135 18TH ST ","SAN FRANCISCO","94107","Restaurant, < 1000 sq'","227",302,"No",3,"Active",7,""
352,"TANGERINE","3499 16TH ST ","SAN FRANCISCO","94114","Restaurant, < 1000 sq'","203",204,"No",5,"Active",7,""
353,"LEILA","50 POST ST #64A","SAN FRANCISCO","94104","Restaurant, < 1000 sq'","117A",402,"No",4,"Active",7,""
364,"SUN JIN DELI & RESTAURANT","4689 MISSION ST ","SAN FRANCISCO","94112","Restaurant, < 1000 sq'","260",305,"No",3,"Active",7,""
375,"LUEN FAT BAKERY & RESTAURANT","110 LELAND AVE ","SAN FRANCISCO","94134","Restaurant, < 1000 sq'","264",302,"No",3,"Active",7,""
379,"GIANT SCOOP","2708 SAN BRUNO AVE ","SAN FRANCISCO","94134","Restaurant, < 1000 sq'","257",305,"No",3,"Active",7,""
380,"COFFEE CHOICE","300 03RD ST ","SAN FRANCISCO","94107","Restaurant, < 1000 sq'","180",304,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
383,"KING LING","683 GEARY ST","SAN FRANCISCO","94102","Restaurant, < 1000 sq'","123",404,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
384,"RINCONSITO SALVADORENO","3829 MISSION ST ","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","254",305,"No",3,"Active",7,""
385,"REINA RESTAURANT","5479 MISSION ST ","SAN FRANCISCO","94112","Restaurant, < 1000 sq'","263",302,"No",3,"Active",7,""
386,"ADELITA'S CAKES","3780 MISSION ST ","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","254",305,"No",3,"Active",7,""
389,"CAFE ELENA","1 MARKET ST ","SAN FRANCISCO","94105","Restaurant, < 1000 sq'","176A",303,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
393,"SUPER STAR RESTAURANT","4919 MISSION ST B","SAN FRANCISCO","94112","Restaurant, < 1000 sq'","260",305,"No",3,"Active",7,""
394,"SF MARRIOTT HOTEL PANTRY 5/F","55 04TH ST ","SAN FRANCISCO","94103","Restaurant, < 1000 sq'","176A",303,"No",3,"Active",7,""
395,"SF MARRIOTT HOTEL PANTRY 4/F","55 04TH ST ","SAN FRANCISCO","94103","Restaurant, < 1000 sq'","176A",303,"No",3,"Active",7,""
397,"SF MARRIOTT VIEW LOUNGE PANTRY","55 04TH ST ","SAN FRANCISCO","94103","Restaurant, < 1000 sq'","176A",303,"No",3,"Active",7,""
398,"HENRY'S CAFETERIA","92 02ND ST ","SAN FRANCISCO","94105","Restaurant, < 1000 sq'","176A",303,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
400,"COW HOLLOW CATERING","3301 LYON ST ","SAN FRANCISCO","94123","Restaurant, < 1000 sq'","127",206,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
401,"STARBUCKS COFFEE","1 MARKET ST ","SAN FRANCISCO","94105","Restaurant, < 1000 sq'","176A",303,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
403,"HAAGEN-DAZS #561","865 MARKET ST ","SAN FRANCISCO","94103","Restaurant, < 1000 sq'","176B",306,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
404,"ELEVATION SALON & CAFE","451 BUSH ST ","SAN FRANCISCO","94108","Restaurant, < 1000 sq'","117A",402,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
409,"EL FARO","82 01ST ST ","SAN FRANCISCO","94105","Restaurant, > 2000 sq'","176A",303,"Yes",3,"Active",9,"This Location Has Received the Symbol of Excellence"
413,"HOUSE OF HUNAN","2 44 ST ","SAN FRANCISCO","94107","Restaurant, < 1000 sq'","179",304,"No",3,"Active",7,""
415,"CAFE MADELEINE","43 O'FARRELL ST","SAN FRANCISCO","94108","Restaurant, < 1000 sq'","117B",405,"No",4,"Active",7,""
420,"BUSTER'S","366 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","106",407,"No",4,"Active",7,""
421,"CAFFE ROMA COFFEE ROASTING CO","526 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","106",407,"No",4,"Active",7,""
422,"MICHELANGELO CAFFE","579 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, 1000 - 2000 sq'","107A",405,"No",4,"Active",8,""
423,"ORALE TAQUERIA","113 SACRAMENTO ST ","SAN FRANCISCO","94111","Restaurant, < 1000 sq'","117A",402,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
424,"CHATZ","301 ARKANSAS ST ","SAN FRANCISCO","94107","Take - Out","227",302,"Yes",3,"Active",11,"This Location Has Received the Symbol of Excellence"
425,"MOCCA","175 MAIDEN LN ","SAN FRANCISCO","94108","Restaurant, < 1000 sq'","117B",405,"No",4,"Active",7,""
428,"CAFFE AMBROSIA","14 TRINITY PL ","SAN FRANCISCO","94104","Restaurant, < 1000 sq'","117A",402,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
429,"CALZONE'S","430 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","106",407,"No",4,"Active",7,""
430,"ROSE PISTOLA","532 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","106",407,"No",4,"Active",7,""
431,"BOHEMIAN CIGAR STORE","566 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","106",407,"No",4,"Active",7,""
435,"VIENI-VIENI","1431 STOCKTON ST ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","107A",405,"No",4,"Active",7,""
436,"NORTH BEACH RESTAURANT","1512 STOCKTON ST ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","106",407,"No",4,"Active",7,""
438,"HAWAII WEST","729 VALLEJO ST ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","107B",401,"No",4,"Active",7,""
442,"MY CANH RESTAURANT","626 BROADWAY ST ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","107A",405,"No",4,"Active",7,""
