"ViolationTypeID","ViolationType","ViolationCategoryID","ViolationDeduction","RiskCategory"
160,"Bed Bug Infestation",19,,""
161,"Garbage Accumulation",19,,""
162,"Over Flowing Trash Cans",19,,""
163,"Human Waste",19,,""
164,"Sewage Leak",19,,""
165,"Animal Feces",19,,""
166,"Smoking in Common Areas",19,,""
167,"Mold Accumulation",19,,""
168,"Improper disposal of Needles/Sharps",19,,""
169,"Defective Walls",19,,""
170,"Worn/Soiled Carpets",19,,""
171,"Worn/Soiled Furnishings",19,,""
172,"Unsanitary Floors",19,,""
173,"Unsanitary Walls",19,,""
174,"Unsanitary Bathrooms/Toilet Rooms",19,,""
175,"Inadequate Ventilation",19,,""
176,"Inadequate Lighting",19,,""
177,"Foul Odors",19,,""
178,"Mouse Infestation",20,,""
179,"Rat Infestation",20,,""
180,"Pigeon Roosting",20,,""
181,"Cockroach Infestation",20,,""
182,"Ant Infestation",20,,""
183,"Spider Infestation",20,,""
184,"Flea Infestation",20,,""
185,"Lice Infestation",20,,""
186,"Scabies Infestation",20,,""
187,"Mosquito Infestation",20,,""
188,"Bed Bug Infestation",20,,""
189,"Garbage Accumulation",20,,""
190,"Over Flowing Trash Cans",20,,""
191,"Human Waste",20,,""
192,"Sewage Leak",20,,""
193,"Animal Feces",20,,""
194,"Smoking in Common Areas",20,,""
195,"Mold Accumulation",20,,""
196,"Improper disposal of Needles/Sharps",20,,""
197,"Defective Walls",20,,""
198,"Worn/Soiled Carpets",20,,""
199,"Worn/Soiled Furnishings",20,,""
200,"Unsanitary Floors",20,,""
201,"Unsanitary Walls",20,,""
202,"Unsanitary Bathrooms/Toilet Rooms",20,,""
203,"Inadequate Ventilation",20,,""
204,"Inadequate Lighting",20,,""
205,"Foul Odors",20,,""
206,"Mouse Infestation",21,,""
207,"Rat Infestation",21,,""
208,"Pigeon Roosting",21,,""
209,"Cockroach Infestation",21,,""
210,"Ant Infestation",21,,""
211,"Spider Infestation",21,,""
212,"Flea Infestation",21,,""
213,"Lice Infestation",21,,""
214,"Scabies Infestation",21,,""
215,"Mosquito Infestation",21,,""
216,"Bed Bug Infestation",21,,""
217,"Garbage Accumulation",21,,""
218,"Over Flowing Trash Cans",21,,""
219,"Human Waste",21,,""
220,"Sewage Leak",21,,""
221,"Animal Feces",21,,""
222,"Smoking in Common Areas",21,,""
223,"Mold Accumulation",21,,""
224,"Improper disposal of Needles/Sharps",21,,""
225,"Defective Walls",21,,""
226,"Worn/Soiled Carpets",21,,""
227,"Worn/Soiled Furnishings",21,,""
228,"Unsanitary Floors",21,,""
229,"Unsanitary Walls",21,,""
230,"Unsanitary Bathrooms/Toilet Rooms",21,,""
231,"Inadequate Ventilation",21,,""
232,"Inadequate Lighting",21,,""
233,"Foul Odors",21,,""
234,"Mouse Infestation",22,,""
235,"Rat Infestation",22,,""
236,"Pigeon Roosting",22,,""
237,"Cockroach Infestation",22,,""
238,"Ant Infestation",22,,""
239,"Spider Infestation",22,,""
240,"Flea Infestation",22,,""
241,"Lice Infestation",22,,""
242,"Scabies Infestation",22,,""
243,"Mosquito Infestation",22,,""
244,"Bed Bug Infestation",22,,""
245,"Garbage Accumulation",22,,""
246,"Over Flowing Trash Cans",22,,""
247,"Human Waste",22,,""
248,"Sewage Leak",22,,""
249,"Animal Feces",22,,""
250,"Smoking in Common Areas",22,,""
251,"Mold Accumulation",22,,""
252,"Improper disposal of Needles/Sharps",22,,""
253,"Defective Walls",22,,""
254,"Worn/Soiled Carpets",22,,""
255,"Worn/Soiled Furnishings",22,,""
256,"Unsanitary Floors",22,,""
257,"Unsanitary Walls",22,,""
258,"Unsanitary Bathrooms/Toilet Rooms",22,,""
259,"Inadequate Ventilation",22,,""
260,"Inadequate Lighting",22,,""
261,"Foul Odors",22,,""
262,"Mouse Infestation",23,,""
263,"Rat Infestation",23,,""
264,"Pigeon Roosting",23,,""
265,"Cockroach Infestation",23,,""
266,"Ant Infestation",23,,""
267,"Spider Infestation",23,,""
268,"Flea Infestation",23,,""
269,"Lice Infestation",23,,""
270,"Scabies Infestation",23,,""
271,"Mosquito Infestation",23,,""
272,"Bed Bug Infestation",23,,""
273,"Garbage Accumulation",23,,""
274,"Over Flowing Trash Cans",23,,""
275,"Human Waste",23,,""
276,"Sewage Leak",23,,""
277,"Animal Feces",23,,""
278,"Smoking in Common Areas",23,,""
279,"Mold Accumulation",23,,""
280,"Improper disposal of Needles/Sharps",23,,""
281,"Defective Walls",23,,""
282,"Worn/Soiled Carpets",23,,""
283,"Worn/Soiled Furnishings",23,,""
284,"Unsanitary Floors",23,,""
285,"Unsanitary Walls",23,,""
286,"Unsanitary Bathrooms/Toilet Rooms",23,,""
287,"Inadequate Ventilation",23,,""
288,"Inadequate Lighting",23,,""
289,"Foul Odors",23,,""
290,"Mouse Infestation",24,,""
291,"Rat Infestation",24,,""
292,"Pigeon Roosting",24,,""
293,"Cockroach Infestation",24,,""
294,"Ant Infestation",24,,""
295,"Spider Infestation",24,,""
296,"Flea Infestation",24,,""
297,"Lice Infestation",24,,""
298,"Scabies Infestation",24,,""
299,"Mosquito Infestation",24,,""
300,"Bed Bug Infestation",24,,""
301,"Garbage Accumulation",24,,""
302,"Over Flowing Trash Cans",24,,""
303,"Human Waste",24,,""
304,"Sewage Leak",24,,""
305,"Animal Feces",24,,""
306,"Smoking in Common Areas",24,,""
307,"Mold Accumulation",24,,""
308,"Improper disposal of Needles/Sharps",24,,""
309,"Defective Walls",24,,""
310,"Worn/Soiled Carpets",24,,""
311,"Worn/Soiled Furnishings",24,,""
312,"Unsanitary Floors",24,,""
313,"Unsanitary Walls",24,,""
314,"Unsanitary Bathrooms/Toilet Rooms",24,,""
315,"Inadequate Ventilation",24,,""
316,"Inadequate Lighting",24,,""
317,"Foul Odors",24,,""
318,"Mouse Infestation",25,,""
319,"Rat Infestation",25,,""
320,"Pigeon Roosting",25,,""
321,"Cockroach Infestation",25,,""
322,"Ant Infestation",25,,""
323,"Spider Infestation",25,,""
324,"Flea Infestation",25,,""
325,"Lice Infestation",25,,""
326,"Scabies Infestation",25,,""
327,"Mosquito Infestation",25,,""
328,"Bed Bug Infestation",25,,""
329,"Garbage Accumulation",25,,""
330,"Over Flowing Trash Cans",25,,""
331,"Human Waste",25,,""
332,"Sewage Leak",25,,""
333,"Animal Feces",25,,""
334,"Smoking in Common Areas",25,,""
335,"Mold Accumulation",25,,""
336,"Improper disposal of Needles/Sharps",25,,""
337,"Defective Walls",25,,""
338,"Worn/Soiled Carpets",25,,""
339,"Worn/Soiled Furnishings",25,,""
340,"Unsanitary Floors",25,,""
341,"Unsanitary Walls",25,,""
342,"Unsanitary Bathrooms/Toilet Rooms",25,,""
343,"Inadequate Ventilation",25,,""
344,"Inadequate Lighting",25,,""
345,"Foul Odors",25,,""
347,"Chemical Storage Violation",27,,""
348,"Cross Connection",27,,""
349,"Inadequate Cleaning",27,,""
350,"Inadequate Sterilization",27,,""
351,"Lack of Hot and/or Cold Water",27,,""
352,"Unapproved Equipment",27,,""
353,"Lack of BBP Training",28,,""
354,"Lack Of Client Waiver Forms",28,,""
355,"Lack of Spore Test Results",28,,""
356,"Inadequate Storage",29,,""
357,"Lack of Labeling",29,,""
358,"Garbage/Refuse",30,,""
359,"General Sanitation",30,,""
360,"No Valid Health Permit Posted",30,,""
361,"Other",30,,""
362,"Bare Hand Contact During Procedure",31,,""
363,"Hair Restraint/ Unclean Clothing/ Finger Nails",31,,""
364,"Inadequate Handwash Supplies - Bathroom",31,,""
365,"Inadequate Handwash Supplies - Work Station",31,,""
366,"Lack of Aseptic Technique",31,,""
367,"Lack of Handwashing Prior To Procedure",31,,""
368,"Other",31,,""
369,"Expired Registration",32,,""
370,"Unregistered",32,,""
371,"Ceiling",33,,""
372,"Floors",33,,""
373,"Janitorial/Garbage",33,,""
374,"Lighting",33,,""
375,"Other",33,,""
376,"Plumbing",33,,""
377,"Safety Hazard",33,,""
378,"Sewage",33,,""
379,"Ventilation",33,,""
380,"Walls",33,,""
381,"Underage Piercing",30,,""
382,"Underage Tattooing",30,,""
383,"Animals/Dogs",34,,""
384,"Cockroaches",34,,""
385,"Flies",34,,""
386,"Insects",34,,""
387,"Mice",34,,""
388,"Other",34,,""
389,"Rats",34,,""
393,"Defective Floors",35,,""
394,"Defective Walls",35,,""
395,"Defective Ceilings",35,,""
396,"Inadequate Lighting",35,,""
397,"Inadequate Ventilation",35,,""
398,"No automatic closures on toilet room doors",35,,""
399,"No automatic closures on dressing rooms doors",35,,""
400,"Toilet room doors don’t open inward",35,,""
401,"Employee dressing room doors don’t open inward",35,,""
402,"Lack of employee dressing room",35,,""
403,"Defective plumbing",35,,""
404,"Sewage leak",35,,""
405,"unapproved sleeping areas",35,,""
406,"Failure to exclude vermin",35,,""
407,"Improper laundering of towels and sheets",36,,""
408,"Improper storage of clean sheets and towels",36,,""
409,"Improper storage of soiled sheets and towels",36,,""
410,"Improper storage of employee belongings",36,,""
411,"No hand wash supplies",36,,""
412,"Poor facility sanitation",36,,""
413,"Improper garbage disposal",36,,""
414,"Mold",36,,""
415,"Inadequate cleaning of equipment",36,,""
416,"Unhygienic practices",37,,""
417,"Unsanitary employee outer garments",37,,""
418,"Inadequate hand wash practices",37,,""
419,"Defective hand sink",38,,""
420,"Unavailable hand sink",38,,""
421,"Lack of hot water/and or cold running water",38,,""
422,"Defective laundry equipment",38,,""
423,"Unapproved laundering practices",38,,""
424,"Unapproved massage equipment",38,,""
425,"No employee lockers",38,,""
426,"Cockroach infestation",39,,""
427,"Fly infestation",39,,""
428,"Rat infestation",39,,""
429,"Other",39,,""
430,"Facility permit not posted",40,,""
431,"Operation without a permit",40,,""
432,"Facility license not posted",40,,""
433,"Invalid facility license",40,,""
434,"Practitioner license not posted",40,,""
435,"Invalid practitioner license",40,,""
436,"Practitioner ID card not available",40,,""
437,"List of practitioners not provided",40,,""
438,"No signs posted (SFHC Art.19F)",41,,""
439,"Smoking observed (SFHC Art.19F)",41,,""
440,"Other",41,,""
441,"Sales to Minor",42,,""
442,"Selling Without Permit",42,,""
443,"Self Service Displays",42,,""
444,"Single Cigarette Sales",42,,""
445,"Has Not Paid Annual Fee",42,,""
446,"Smoke Free Workplace Law",42,,""
447,"003 (CFR) Improper Hot/cold holding temperatures",1,12,"High Risk"
448,"002 Pooled Shelled Eggs - Unapproved Temps",1,12,"High Risk"
449,"006 (CFR) Improper Cooking Time/temperatures",1,12,"High Risk"
450,"007 (CFR) Improper Reheating",1,12,"High Risk"
451,"005 (CFR) Improper Cooling Methods",1,12,"High Risk"
452,"008 (CFR) Food in Poor Condition; unsafe/adulterated",1,12,"High Risk"
453,"017 (CFR) Discharge from Eyes/Nose/Mouth",1,4,"Moderate Risk"
454,"002 (CFR) Hands not clean/improperly washed/gloves improperly used",1,12,"High Risk"
455,"014 (CFR) Rodents/Roaches/Flies/Other Animals",1,12,"High Risk"
456,"010 Cockroaches - Immediate Risk",1,12,"High Risk"
457,"011 Flies - Immediate Risk",1,12,"High Risk"
458,"012 Sanitizing - Multi-Use Consumer Utensils",1,12,"High Risk"
459,"013 No Hot Water - Immediate Risks/Food Prep Establishment",1,12,"High Risk"
460,"012 (CFR) No Hot Water/No Water",1,12,"High Risk"
461,"013 (CFR) Sewage/Wastewater Improperly Disposed",1,12,"High Risk"
462,"016 Toilets - No Operable Toilets",1,12,"High Risk"
463,"020 (CFR) Improper hot/cold holding temperatures",1,4,"Moderate Risk"
464,"018 Holding of PHF - Single Serving",1,4,"Moderate Risk"
465,"019 Shell Eggs",1,4,"Moderate Risk"
466,"020 Other",1,4,"Moderate Risk"
467,"021 Thawing - Improper Method",1,4,"Moderate Risk"
468,"022 Risks for Contamination - Food Prepared in Unapproved Area/Food Prepared or Handled with Bare Hands/Other",1,4,"Moderate Risk"
469,"039 (CFR) Improper Food Storage/Improper Container ID",1,2,"Low Risk"
470,"024 Ready-To-Eat-Food - Exposed to Possible Contamination from Raw Meats/Poultry/Fish/Eggs",1,4,"Moderate Risk"
471,"025 Food Not Protected from Consumer",1,4,"Moderate Risk"
472,"010 (CFR) Food obtained from an Unapproved Source",1,12,"High Risk"
473,"022 (CFR) Returned/Reservice of Food",1,4,"Moderate Risk"
474,"028 Soap/Drying Device - Dispensers Empty",1,4,"Moderate Risk"
475,"038 (CFR) Improper Storage/Identification/Use of toxic substances",1,2,"Low Risk"
476,"018 (CFR) Employee Practices - Tobacco/Eating/Other",1,4,"Moderate Risk"
477,"031 Improperly Cleaned/Not Maintained Clean",1,4,"Moderate Risk"
478,"009 (CFR) Food Contact surfaces not clean/sanitized",1,12,"High Risk"
479,"033 Backflow/Back Siphonage",1,4,"Moderate Risk"
480,"019 (CFR) Inadequate/Inaccessible handwashing facilities & supplies",1,4,"Moderate Risk"
481,"035 Labels - Consumer Foods",1,4,"Moderate Risk"
482,"036 Misrepresentation - Advertised Food",1,4,"Moderate Risk"
483,"026 (CFR) Non Compliance with Gulf Coast Oyster Regs",1,4,"Moderate Risk"
484,"028 (CFR) Consumer Advisory Not Provided for Raw or undercooked foods",1,4,"Moderate Risk"
485,"039 Pure Food/Spoilage",1,1,"Low Risk"
486,"040 (CFR) Customer Self-Service",1,2,"Low Risk"
487,"041 Refrozen Foods",1,1,"Low Risk"
488,"042 Improper Inspection at Delivery/Transportation",1,1,"Low Risk"
489,"043 Dispensers - Disrepair/Non-Functional/Supplies - Unapproved Type",1,1,"Low Risk"
490,"034 (CFR) Hair Restraints/Outer Garments/Nails/Rings",1,2,"Low Risk"
491,"045 Shellfish Tags/Records",1,1,"Low Risk"
492,"046 Hazardous Materials/Chemicals - Low Risk",1,1,"Low Risk"
493,"045 (CFR) Improper Storage: Equipment. Utensils, Linens",1,2,"Low Risk"
494,"048 Spoils Area",1,1,"Low Risk"
495,"055 (CFR) Unapproved private homes/living quarters/sleeping quarters",1,2,"Low Risk"
496,"050 Animal/Bird/Fowl",1,1,"Low Risk"
497,"051 Condition - Disrepair",1,1,"Low Risk"
498,"052 Storage",1,1,"Low Risk"
499,"053 Unapproved Type/Improper Use/Improper Installation",1,1,"Low Risk"
500,"049 (CFR) Wiping Cloths not clean/inadequate sanitizer turbid/not properly stored",1,2,"Low Risk"
501,"043 (CFR) Inadequate Warewashing Facilities/Equipment",1,2,"Low Risk"
502,"048 (CFR) Thermometers Required",1,2,"Low Risk"
503,"044 (CFR) Unapproved/Disrepair Equipment/Utensils",1,2,"Low Risk"
504,"042 (CFR) Non Food Contact Surface Unclean",1,2,"Low Risk"
505,"059 Rodents - Low Risk/Rodent Proofing",1,1,"Low Risk"
506,"060 Cockroach - Low Risk/Harborage Areas",1,1,"Low Risk"
507,"061 Other Insects - Low Risk",1,1,"Low Risk"
508,"062 Open Door/Air Curtain/Window",1,1,"Low Risk"
509,"063 Sink & Fixtures/Floor Sink/Floor Drain - Leaking/Not Cleaned/Disrepair/Unapproved",1,1,"Low Risk"
510,"064 Drain Line/Supply Line - Unapproved Discharge/Installation/Materials/Leaking",1,1,"Low Risk"
511,"029 (CFR) No Hot Water/Water",1,4,"Moderate Risk"
512,"066 Hood - Not Clean/Disrepair/Missing Filters",1,1,"Low Risk"
513,"047 (CFR)  Inadequate Ventilation/Lighting",1,2,"Low Risk"
514,"068 Ventilation - General",1,1,"Low Risk"
515,"069 Lighting/Light Shields",1,1,"Low Risk"
516,"052 (CFR) Toilet facilities in Disrepair/Not cleaned/Need supplies/Improperly Constructed",1,2,"Low Risk"
517,"053 (CFR) Inadequate dressing rooms/Personal Items",1,2,"Low Risk"
518,"072 Janitorial - Supplies/Equipment",1,1,"Low Risk"
519,"051 (CFR) No Garbage Service/No Containers/Area or containers not maintained clean",1,2,"Low Risk"
520,"074 Exterior/Premises",1,1,"Low Risk"
521,"056 (CFR) Permit/Inspection Not Posted",1,2,"Low Risk"
522,"091 License Not Valid",1,0,""
523,"092 License Not Posted",1,0,""
524,"093 Previous Inspection Report Not Available",1,0,""
525,"094 Retail Tobacco - Yes",1,0,""
526,"062 (CFR)  Safety Hazards",1,2,"Low Risk"
527,"001 Unapproved floors in Steam/Toilet/Shower Rooms (SFHC Sec.1910(a)1)",43,0,""
528,"002 Unapproved Ceiling & Walls in Steam/Toilet & Shower Rooms (SFHC Sec.1910(a)2)",43,0,""
529,"003 Floor Drains Not Provided (SFHC Sec.1910(a)3)",43,0,""
530,"004 No Self Closing Device On Toilet Room Door (SFHC Sec.19106)",43,0,""
531,"005 Toilet Room Door Opens Inward (SFHC Sec.19106)",43,0,""
532,"006 No Hot Water Source Near Wet/Dry Rooms For Cleaning (SFHC Sec.19106)",43,0,""
533,"007 No Clean Linen Storage Area (SFHC Sec.1911(h))",43,0,""
534,"008 Inadequate Ventilation (SFHC Sec.1910 (d), Sec.1911(i))",43,0,""
535,"009 Inadequate Lighting (10 ft candles) (SFHC Sec.1910 (d), Sec.1911(f))",43,0,""
536,"010 Employees Lounge Separate From Patrons (SFHC Sec.1911(e), Sec.1914(b))",43,0,""
537,"011 Inadequate Janitorial Facilities (SFHC Sec.1910(c))",43,0,""
538,"012 Unsanitary Conditions (SFHC Sec.1914(a))",43,0,""
539,"013 Toilets and/or Tub Rooms Not Clean (SFHC Sec.1914(a))",43,0,""
540,"014 Shower Stalls and/or Steam Rooms Not Clean (SFHC Sec.1914(a))",43,0,""
541,"015 Rodents (SFHC Sec.1914(a))",43,0,""
542,"016 Insects (SFHC Sec.1914(a))",43,0,""
543,"017 No Hot Water Provided (SFHC Sec.1911(c))",43,0,""
544,"018 No Soap or Paper Towels in Dispensers (SFHC Sec.1910(c))",43,0,""
545,"019 Linen Not Changed After Each Use (SFHC Sec.1914(c))",43,0,""
546,"020 Clean Linen Not Properly Stored  (SFHC Sec.1914(c))",43,0,""
547,"021 Soiled Linen Container Not Labeled  (SFHC Sec.1914(c))",43,0,""
548,"022 Un-approved Table/Framework  (SFHC Sec.1914(a))",43,0,""
549,"023 Table Surfaces Are Not Cleanable (SFHC Sec.1914(a))",43,0,""
550,"024 Employee Outer Garments Not Clean (SFHC Sec.1914(a))",43,0,""
551,"025 No Storage Area for Staff's Personal Articles (SFHC Sec.1914(a))",43,0,""
552,"026 Refuse Not Properly Stored (SFHC Sec.1914(c))",43,0,""
553,"027 No Licensed Garbage Service (SFHC Sec.290)",43,0,""
554,"028 Smoking On the Premises (SFHC Art.19(f))",43,0,""
555,"029 Unlicensed Practitioners (SFHC Sec.1915)",43,0,""
556,"030 Living Quarters in Establishment (SFHC Sec.1914(e))",43,0,""
557,"034 Facility Permit Not Posted (SFHC Sec.1918(a))",43,0,""
558,"035 Facility License Not Valid (SFHC Sec.1918(a))",43,0,""
559,"036 Facility License Not Posted  (SFHC Sec.1918(a))",43,0,""
560,"037 No Practioners List on Site (SFHC Sec.1918(a))",43,0,""
561,"038 No Practioner(s) License on Site (SFHC Sec.1918(a))",43,0,""
562,"039 Practioner ID card(s) Are Not Available (SFHC Sec.1918(a))",43,0,""
563,"040 Practioner(s) Permit Not Available (SFHC Sec.1918(a))",43,0,""
564,"Garbage/Trash/Attractive nuisance",44,0,""
565,"No toilet facilities available for attended laundry",44,0,""
566,"No separation of clean/dirty hampers/bins",44,0,""
567,"Excess lint pollution nuisance",44,0,""
568,"Broken machines",44,0,""
569,"No contact phone numbers posted (unattended laundries)",44,0,""
570,"Mold",44,0,""
571,"1) Smoking in common areas (SFHC Art.19F)",45,0,""
572,"2) NO SMOKING signs not posted (SFHC Art.19F)",45,0,""
573,"3) Smoking migrating between units due to… (CBC 708, 709) (SF Housing Sec.401, Sec.1001B7)",45,0,""
574,"4) Inadequate fire blocking",45,0,""
575,"5) Damaged walls, plaster, sheetrock",45,0,""
576,"6) Air imbalancing",45,0,""
577,"7) Weather proofing of doors & windows",45,0,""
578,"8) Disrepair exhaust check valves",45,0,""
579,"9) Disrepair or modified HVAC/refrigeration unit",45,0,""
580,"1) Excessive fixed noise source (MPC Sec.2909)",46,0,""
581,"2) Other noise sources for referral (MPC Art.29)",46,0,""
582,"3) Despaired or modified HVAC/regrigeration unit",46,0,""
583,"4) Other modified fixed noise sources",46,0,""
584,"5) Enclosures for noise source",46,0,""
585,"1) Lead poisoning of a child (SFHC Art.26)",47,0,""
586,"2) Existing lead hazards due to damaged paint… (SFHC Art.11)",47,0,""
587,"3) Lead hazards created by work in progress… (SFBC Sec.3407) (SB 460)",47,0,""
588,"4) Public health nursing home visit and…",47,0,""
589,"5) Property owner's requirement for appropriate…",47,0,""
590,"1) Construction work in progress causing…  (SFHC Art.21)",48,0,""
591,"2) Deteriorating or damaged asbestos…   (SFHC Art.21)",48,0,""
592,"3) BAAQMD regulation 11, Rule 2",48,0,""
593,"4) Cal-OSHA construction  (8 CCR Sec.1529)",48,0,""
594,"5) California unfair business practice status  (B&P Codes 17200, et seq.)",48,0,""
595,"6) Construction work in progress and asbestos…",48,0,""
596,"7) Construction debris hauling/disposal…",48,0,""
597,"8) Unskilled labor or unlicensed contractor…",48,0,""
598,"9) Deteriorated suspect asbestos-containing…",48,0,""
599,"01) Accumulation of filth, garbage, debris…  (SFHC Sec.581(b)1)",49,0,""
600,"02) Hay, grass, straw, weeds, overgrown…   (SFHC Sec.581(b)2)",49,0,""
601,"03) Waste paper, litter, combustible trash   (SFHC Sec.581(b)3)",49,0,""
602,"04) Unsanitary buildings, structures, or portion…  (SFHC Sec.581(b)4)",49,0,""
603,"05) Animal excrement, urine, other biological fluids  (SFHC Sec.581(b)5)",49,0,""
604,"06) Human excrement, urine, other biological fluids  (SFHC Sec.581(b)5)",49,0,""
605,"07) Visible or demonstrable mold…  (SFHC Sec.581(b)6)",49,0,""
606,"08) Pest harborage or infestation including… (SFHC Sec.581(b)7)",49,0,""
607,"09) Noxious inspect harborage or infestation… (SFHC Sec.581(b)8)",49,0,""
608,"10) Tainted, decayed, spoiled food unwholesome… (SFHC Sec.581(b)9)",49,0,""
609,"11) Lead hazards (SFHC Sec.581(b)10)",49,0,""
610,"12) Poison ivy, poison oak in lots, open spaces… (SFHC Sec.581(b)11)",49,0,""
611,"13) More than 3 dogs or 4 small animals on premises… (SFHC Sec.581(b)12, 37(a)(b))",49,0,""
612,"14) Rodent infestation, failure to exclude rodents… (SFHC Sec.581(b)13 & 92)",49,0,""
613,"15) Discharge of soot (SFHC Sec.581(b)14 & Sec. 590)",49,0,""
621,"16) Abandoned vehicles (SFHC Sec.230)",49,0,""
622,"1) Improper storage and disposal of garbage  (SFHC Sec.583(a)11(b))",50,0,""
623,"2) Improper storage of crates, pallets, tires…  (SFHC Sec.583(a)11(c))",50,0,""
624,"3) Improper maintainance of windows, exteriors….   (SFHC Sec.583(a)11(d))",50,0,""
625,"4) Non-vermin proof dwelling, dwelling unit…   (SFHC Sec.583(a)11(e))",50,0,""
626,"5) Standing water on disrepaired roof, gutter…   (SFHC Sec.583(a)11(f))",50,0,""
627,"Locks on massage room doors",43,0,""
628,"Locked doors at entrance to facility",43,0,""
629,"Improper attire by practitioner (SFHC Sec. 1926)",43,0,""
630,"031 (CFR) Rodents/Roaches/Flies/Other Animals",1,4,"Moderate Risk"
631,"064 (CFR) VERMIN -  Rodents/Roaches/Flies",1,2,"Low Risk"
632,"024 (CFR) Food Contact surfaces not cleaned/sanitized",1,4,"Moderate Risk"
633,"001 (CFR) Communicable Disease; reporting, restrictions & exclusions",1,12,"High Risk"
634,"004 (CFR) Time as public health control-procedures and/or records needed",1,12,"High Risk"
635,"011 (CFR) Licensed healthcare facilities/public & private schools/prohibited foods offered",1,12,"High Risk"
636,"015 (CFR) Other - Specified in Report",1,12,"High Risk"
637,"016 (CFR) Lack of Food safety knowledge: no food safety certification",1,4,"Moderate Risk"
639,"021 (CFR) Time as public health control-procedures/records needed",1,4,"Moderate Risk"
640,"023 (CFR) Food in poor condition/unsafe/adulterated",1,4,"Moderate Risk"
641,"025 (CFR) Non-Compliance with shell stock tags/condition/display",1,4,"Moderate Risk"
642,"027 (CFR) Noncompliance with variance/HAACP Plan/Specialized Process",1,4,"Moderate Risk"
643,"030 (CFR) Sewage/Wastewater Disposal Inoperative",1,4,"Moderate Risk"
644,"032 (CFR) Other (Specified in Report)",1,4,"Moderate Risk"
645,"033 (CFR) No Person in Charge to perform duties",1,2,"Low Risk"
646,"035 (CFR) Unapproved thawing methods used",1,2,"Low Risk"
647,"036 (CFR) Foods not separated or protected",1,2,"Low Risk"
648,"037 (CFR) Not Washing Fruits and Vegetables",1,2,"Low Risk"
649,"041 (CFR) Foods improperly labeled or misrepresented",1,2,"Low Risk"
650,"046 (CFR) Vending Machine Noncompliance",1,2,"Low Risk"
651,"050 (CFR) Improper or Defective plumbing/No backflow devices/Improper connections",1,2,"Low Risk"
652,"054 (CFR) Floors, Walls, Ceilings Improperly constructed, in disrepair, not clean",1,2,"Low Risk"
653,"057 (CFR) (CFR) Food Safety Certificate Not Available/Posted",1,2,"Low Risk"
654,"058 (CFR) Plan Review Required",1,2,"Low Risk"
655,"059 (CFR) No Permit Required (New Application Required)",1,2,"Low Risk"
656,"060 (CFR) Impoundment",1,2,"Low Risk"
657,"061 (CFR) Permit Suspension",1,2,"Low Risk"
658,"063 (CFR) HACCP Plan Items Required (logsheets, etc.)",1,2,"Low Risk"
659,"065 (CFR) (Specify in report)",1,2,"Low Risk"
660,"066 (CFR) Styrofoam Utensils in Use",1,2,"Low Risk"
